Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$32,685,961,425 ",1.16%,0,0,0,Analyze
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$32,504,042,695 ",0.57%,0,0,0,Analyze
ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$32,225,095,227 ",3.44%,0,0,0,Analyze
OTIS,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$32,222,933,056 ",1.43%,0,0,0,Analyze
RMD,Resmed Inc,Common stocks,Large cap,Health Care,"$32,076,989,677 ",0.78%,0,0,0,Analyze
NDAQ,Nasdaq Inc,Common stocks,Large cap,Financials,"$31,864,390,056 ",1.17%,0,0,0,Analyze
AME,Ametek Inc,Common stocks,Large cap,Industrials,"$31,699,196,418 ",0.62%,0,0,0,Analyze
WELL,Welltower Inc,REITs,Large cap,Real Estate,"$31,526,630,877 ",2.72%,0,0,0,Analyze
DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$31,423,309,435 ",4.35%,0,0,0,Analyze
SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$31,078,959,769 ",0.98%,0,0,0,Analyze
MTD,Mettler Toledo Inc,Common stocks,Large cap,Health Care,"$30,962,838,509 ",0.00%,0,0,0,Analyze
ON,ON Semiconductor Corp,Common stocks,Large cap,Information Technology,"$30,749,640,276 ",0.00%,0,0,0,Analyze
VICI,VICI Properties Inc,REITs,Large cap,Real Estate,"$30,645,773,523 ",4.54%,0,0,0,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$30,562,907,561 ",1.80%,0,0,0,Analyze
GWW,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"$30,011,855,759 ",1.13%,0,0,0,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$29,873,776,987 ",2.42%,0,0,0,Analyze
PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$29,768,569,724 ",1.90%,0,0,0,Analyze
ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$29,706,736,798 ",1.74%,0,0,0,Analyze
KEYS,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$29,685,545,538 ",0.00%,0,0,0,Analyze
HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$29,604,779,737 ",3.36%,0,0,0,Analyze
FAST,Fastenal,Common stocks,Large cap,Industrials,"$29,548,682,209 ",2.38%,0,0,0,Analyze
CEG,Constellation Energy Corporation,Common stocks,Large cap,Utilities,"$29,447,961,445 ",0.62%,0,0,0,Analyze
WEC,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$29,341,720,074 ",3.07%,0,0,0,Analyze
DFS,Discover Financial Services,Common stocks,Large cap,Financials,"$29,246,085,886 ",2.04%,0,0,0,Analyze
PCG,Pacific Gas & Electric Co.,Common stocks,Large cap,Utilities,"$29,014,200,000 ",0.00%,0,0,0,Analyze
MTB,M&T Bank Corp,Common stocks,Large cap,Financials,"$28,980,054,156 ",2.84%,0,0,0,Analyze
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$28,915,739,071 ",0.00%,0,0,0,Analyze
FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"$28,473,049,787 ",1.71%,0,0,0,Analyze
OKE,Oneok Inc,Common stocks,Large cap,Energy,"$28,426,264,351 ",5.75%,0,0,0,Analyze
DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$28,351,014,524 ",1.10%,0,0,0,Analyze
GLW,Corning Inc,Common stocks,Large cap,Information Technology,"$28,157,060,707 ",3.21%,0,0,0,Analyze
PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$27,876,322,197 ",3.77%,0,0,0,Analyze
TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$27,434,774,969 ",3.75%,0,0,0,Analyze
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$27,383,839,629 ",2.09%,0,0,0,Analyze
STT,State Street Corp,Common stocks,Large cap,Financials,"$27,340,710,353 ",3.10%,0,0,0,Analyze
ES,Eversource Energy,Common stocks,Large cap,Utilities,"$27,202,809,190 ",3.19%,0,0,0,Analyze
LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$26,632,822,375 ",5.48%,0,0,0,Analyze
VRSK,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$26,621,920,729 ",0.71%,0,0,0,Analyze
WBD,"Warner Bros. Discovery, Inc. - Series A",Common stocks,Large cap,Communication Services,"$26,615,220,324 ",0.00%,0,0,0,Analyze
GPN,Global Payments Inc,Common stocks,Large cap,Information Technology,"$26,407,375,918 ",1.02%,0,0,0,Analyze
IT,Gartner Inc,Common stocks,Large cap,Information Technology,"$26,285,089,276 ",0.00%,0,0,0,Analyze
HRL,Hormel Foods Corp,Common stocks,Large cap,Consumer Staples,"$26,255,718,824 ",2.15%,0,0,0,Analyze
AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$25,974,111,801 ",1.79%,0,0,0,Analyze
RJF,Raymond James Inc,Common stocks,Large cap,Financials,"$25,804,036,163 ",1.13%,0,0,0,Analyze
GPC,Genuine Parts,Common stocks,Large cap,Consumer Discretionary,"$25,324,346,011 ",1.93%,0,0,0,Analyze
WTW,Willis Towers Watson Public Limited Company,Common stocks,Large cap,Financials,"$25,057,009,262 ",1.40%,0,0,0,Analyze
IFF,International Flavors & Fragrances,Common stocks,Large cap,Materials,"$24,955,705,324 ",3.21%,0,0,0,Analyze
CDW,CDW Corp,Common stocks,Large cap,Information Technology,"$24,803,627,902 ",1.09%,0,0,0,Analyze
EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$24,674,708,686 ",1.84%,0,0,0,Analyze
EFX,Equifax Inc,Common stocks,Large cap,Industrials,"$24,367,466,805 ",0.78%,0,0,0,Analyze
FITB,Fifth Third Bancorp,Common stocks,Large cap,Financials,"$24,250,376,545 ",3.44%,0,0,0,Analyze
LEN,Lennar Corporation Class A,Common stocks,Large cap,Consumer Discretionary,"$24,219,913,743 ",1.75%,0,0,0,Analyze
ARE,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$24,163,492,264 ",3.13%,0,0,0,Analyze
URI,United Rentals Inc,Common stocks,Large cap,Industrials,"$24,079,152,469 ",0.00%,0,0,0,Analyze
K,Kellogg,Common stocks,Large cap,Consumer Staples,"$23,817,903,300 ",3.30%,0,0,0,Analyze
TSCO,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"$23,736,342,086 ",1.52%,0,0,0,Analyze
WY,Weyerhaeuser Company,REITs,Large cap,Real Estate,"$23,564,062,340 ",2.18%,0,0,0,Analyze
CBRE,CBRE Group Inc,Common stocks,Large cap,Real Estate,"$23,531,847,110 ",0.00%,0,0,0,Analyze
ZBH,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"$23,528,650,191 ",0.85%,0,0,0,Analyze
TSN,Tyson Foods Inc Class A,Common stocks,Large cap,Consumer Staples,"$23,516,205,700 ",2.80%,0,0,0,Analyze
FTV,Fortive Corp,Common stocks,Large cap,Industrials,"$23,492,867,999 ",0.42%,0,0,0,Analyze
VMC,Vulcan Materials,Common stocks,Large cap,Materials,"$23,357,052,631 ",0.91%,0,0,0,Analyze
EQR,Equity Residential,REITs,Large cap,Real Estate,"$23,347,830,878 ",3.96%,0,0,0,Analyze
HIG,Hartford Financial Services Group,Common stocks,Large cap,Financials,"$23,246,669,731 ",2.10%,0,0,0,Analyze
AVB,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$23,101,249,571 ",3.81%,0,0,0,Analyze
EIX,Edison International,Common stocks,Large cap,Utilities,"$22,851,380,492 ",4.60%,0,0,0,Analyze
LUV,Southwest Airlines,Common stocks,Large cap,Industrials,"$22,342,887,911 ",0.00%,0,0,0,Analyze
MKC,McCormick & Co  Non-voting,Common stocks,Large cap,Consumer Staples,"$22,278,578,472 ",1.77%,0,0,0,Analyze
ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$22,265,985,181 ",0.00%,0,0,0,Analyze
ETR,Entergy Corp,Common stocks,Large cap,Utilities,"$22,147,161,554 ",3.68%,0,0,0,Analyze
PFG,Principal Financial Group Inc,Common stocks,Large cap,Financials,"$21,974,961,370 ",2.81%,0,0,0,Analyze
FRC,First Republic Bank,Common stocks,Large cap,Financials,"$21,974,397,922 ",0.84%,0,0,0,Analyze
DTE,DTE Energy,Common stocks,Large cap,Utilities,"$21,939,343,061 ",3.09%,0,0,0,Analyze
DAL,Delta Air Lines Inc,Common stocks,Large cap,Industrials,"$21,838,875,610 ",0.00%,0,0,0,Analyze
IR,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"$21,780,955,716 ",0.15%,0,0,0,Analyze
MLM,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"$21,771,480,944 ",0.71%,0,0,0,Analyze
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$21,609,868,107 ",2.76%,0,0,0,Analyze
FE,Firstenergy Corp,Common stocks,Large cap,Utilities,"$21,526,507,792 ",4.08%,0,0,0,Analyze
HBAN,Huntington Bancshares Inc,Common stocks,Large cap,Financials,"$21,323,612,289 ",4.12%,0,0,0,Analyze
PWR,Quanta Services Inc,Common stocks,Large cap,Industrials,"$21,256,546,955 ",0.19%,0,0,0,Analyze
ANSS,Ansys Inc,Common stocks,Large cap,Information Technology,"$21,248,416,361 ",0.00%,0,0,0,Analyze
CTRA,Coterra Energy Inc.,Common stocks,Large cap,Energy,"$21,130,925,007 ",2.18%,0,0,0,Analyze
ACGL,Arch Capital Group Ltd,Common stocks,Large cap,Financials,"$20,916,319,677 ",0.00%,0,0,0,Analyze
RF,Regions Financial Corp,Common stocks,Large cap,Financials,"$20,884,859,294 ",3.14%,0,0,0,Analyze
EXR,Extra Space Storage Inc,REITs,Large cap,Real Estate,"$20,798,013,298 ",3.66%,0,0,0,Analyze
VRSN,Verisign Inc,Common stocks,Large cap,Information Technology,"$20,731,517,971 ",0.00%,0,0,0,Analyze
LH,Laboratory Corporation Of America,Common stocks,Large cap,Health Care,"$20,641,142,000 ",0.92%,0,0,0,Analyze
ROL,Rollins Inc,Common stocks,Large cap,Industrials,"$20,605,046,722 ",1.02%,0,0,0,Analyze
PPL,PPL Corporation,Common stocks,Large cap,Utilities,"$20,373,926,918 ",3.80%,0,0,0,Analyze
CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$20,074,225,779 ",2.55%,0,0,0,Analyze
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$20,042,715,540 ",1.46%,0,0,0,Analyze
HPE,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"$19,995,331,924 ",3.05%,0,0,0,Analyze
XYL,Xylem Inc,Common stocks,Large cap,Industrials,"$19,966,743,530 ",1.06%,0,0,0,Analyze
MRO,Marathon Oil Corp,Common stocks,Large cap,Energy,"$19,877,623,392 ",1.02%,0,0,0,Analyze
CFG,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"$19,546,966,441 ",4.02%,0,0,0,Analyze
EPAM,Epam Systems Inc,Common stocks,Large cap,Information Technology,"$19,508,575,130 ",0.00%,0,0,0,Analyze
DOV,Dover Corp,Common stocks,Large cap,Industrials,"$19,506,391,971 ",1.43%,0,0,0,Analyze
PAYC,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$19,106,884,267 ",0.00%,0,0,0,Analyze
WRB,WR Berkley Corp,Common stocks,Large cap,Financials,"$19,098,352,145 ",0.52%,0,0,0,Analyze
WAT,Waters Corp,Common stocks,Large cap,Health Care,"$18,999,136,561 ",0.00%,0,0,0,Analyze
TDY,Teledyne Technologies Inc,Common stocks,Large cap,Information Technology,"$18,971,543,603 ",0.00%,0,0,0,Analyze
NTRS,Northern Trust Corporation,Common stocks,Large cap,Financials,"$18,942,900,519 ",3.10%,0,0,0,Analyze
INVH,Invitation Homes Inc,REITs,Large cap,Real Estate,"$18,819,196,999 ",2.83%,0,0,0,Analyze
JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$18,561,153,821 ",0.89%,0,0,0,Analyze
CNP,Centerpoint Energy Inc,Common stocks,Large cap,Utilities,"$18,376,145,069 ",2.38%,0,0,0,Analyze
AES,AES Corp,Common stocks,Large cap,Utilities,"$18,348,580,402 ",2.28%,0,0,0,Analyze
CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$18,346,215,745 ",1.39%,0,0,0,Analyze
MOH,Molina Healthcare Inc,Common stocks,Large cap,Health Care,"$18,226,640,000 ",0.00%,0,0,0,Analyze
CLX,Clorox,Common stocks,Large cap,Consumer Staples,"$17,996,906,490 ",3.17%,0,0,0,Analyze
MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$17,995,938,485 ",2.97%,0,0,0,Analyze
HOLX,Hologic Inc,Common stocks,Large cap,Health Care,"$17,955,697,757 ",0.00%,0,0,0,Analyze
WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"$17,937,627,426 ",0.61%,0,0,0,Analyze
DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$17,874,629,967 ",3.12%,0,0,0,Analyze
EXPD,Expeditors International Of Washington,Common stocks,Large cap,Industrials,"$17,758,029,091 ",1.12%,0,0,0,Analyze
MPWR,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"$17,652,069,680 ",0.76%,0,0,0,Analyze
AMCR,Amcor plc,Common stocks,Large cap,Materials,"$17,555,540,565 ",4.02%,0,0,0,Analyze
J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$17,485,555,712 ",0.68%,0,0,0,Analyze
IEX,IDEX Corp,Common stocks,Large cap,Industrials,"$17,457,724,100 ",1.01%,0,0,0,Analyze
KEY,Keycorp,Common stocks,Large cap,Financials,"$17,418,542,301 ",4.12%,0,0,0,Analyze
GRMN,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$17,401,168,477 ",3.05%,0,0,0,Analyze
INCY,Incyte Corp,Common stocks,Large cap,Health Care,"$17,344,187,485 ",0.00%,0,0,0,Analyze
VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"$17,327,774,650 ",4.09%,0,0,0,Analyze
PKI,Perkinelmer Inc,Common stocks,Large cap,Health Care,"$17,126,064,722 ",0.21%,0,0,0,Analyze
BALL,Ball Corporation,Common stocks,Large cap,Materials,"$17,067,838,556 ",1.47%,0,0,0,Analyze
MOS,Mosaic,Common stocks,Large cap,Materials,"$17,017,242,079 ",0.97%,0,0,0,Analyze
CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"$16,994,231,297 ",3.11%,0,0,0,Analyze
ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"$16,993,063,602 ",0.00%,0,0,0,Analyze
BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$16,774,119,400 ",1.84%,0,0,0,Analyze
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$16,745,169,945 ",3.63%,0,0,0,Analyze
TTWO,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"$16,724,854,097 ",0.00%,0,0,0,Analyze
SEDG,SolarEdge Technologies Inc,Common stocks,Large cap,Information Technology,"$16,724,305,549 ",0.00%,0,0,0,Analyze
FDS,Factset Research Systems Inc,Common stocks,Large cap,Financials,"$16,637,491,801 ",0.78%,0,0,0,Analyze
DGX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"$16,623,014,537 ",1.77%,0,0,0,Analyze
CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$16,604,950,297 ",2.53%,0,0,0,Analyze
LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$16,588,719,306 ",0.00%,0,0,0,Analyze
STE,STERIS PLC,Common stocks,Large cap,Health Care,"$16,576,599,575 ",1.06%,0,0,0,Analyze
WST,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$16,430,140,805 ",0.33%,0,0,0,Analyze
FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$16,192,712,473 ",1.69%,0,0,0,Analyze
FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$16,192,712,473 ",1.59%,0,0,0,Analyze
TRGP,Targa Resources Corp,Common stocks,Large cap,Energy,"$16,065,861,215 ",1.96%,0,0,0,Analyze
FMC,FMC Corp,Common stocks,Large cap,Materials,"$16,035,461,998 ",1.65%,0,0,0,Analyze
SYF,Synchrony Financial,Common stocks,Large cap,Financials,"$15,971,693,623 ",2.51%,0,0,0,Analyze
BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$15,970,909,275 ",0.75%,0,0,0,Analyze
NTAP,NetApp Inc,Common stocks,Large cap,Information Technology,"$15,837,265,266 ",2.71%,0,0,0,Analyze
BBY,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$15,765,910,414 ",4.69%,0,0,0,Analyze
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$15,662,508,028 ",2.43%,0,0,0,Analyze
OMC,Omnicom Group Inc,Common stocks,Large cap,Communication Services,"$15,544,526,437 ",3.62%,0,0,0,Analyze
SJM,J.M. Smucker,Common stocks,Large cap,Consumer Staples,"$15,401,798,646 ",2.73%,0,0,0,Analyze
EQT,EQT Corporation,Common stocks,Large cap,Energy,"$15,302,147,948 ",1.31%,0,0,0,Analyze
CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$15,269,757,654 ",0.00%,0,0,0,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$15,228,783,951 ",0.00%,0,0,0,Analyze
CPB,Campbell Soup,Common stocks,Large cap,Consumer Staples,"$15,134,801,515 ",2.90%,0,0,0,Analyze
APA,Apache Corp,Common stocks,Large cap,Energy,"$15,091,763,939 ",1.32%,0,0,0,Analyze
HWM,Howmet Aerospace Inc.,Common stocks,Large cap,Industrials,"$15,088,077,989 ",0.27%,0,0,0,Analyze
AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$15,048,091,252 ",1.54%,0,0,0,Analyze
SWKS,Skyworks Solutions Inc,Common stocks,Large cap,Information Technology,"$15,041,774,344 ",2.43%,0,0,0,Analyze
COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$14,951,833,455 ",0.02%,0,0,0,Analyze
IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$14,919,444,379 ",4.74%,0,0,0,Analyze
RCL,Royal Caribbean Cruises Ltd,Common stocks,Large cap,Consumer Discretionary,"$14,752,072,287 ",0.00%,0,0,0,Analyze
EXPE,Expedia Inc,Common stocks,Large cap,Consumer Discretionary,"$14,644,187,658 ",0.00%,0,0,0,Analyze
GEN,Gen Digital Inc.,Common stocks,Large cap,Information Technology,"$14,623,029,328 ",2.21%,0,0,0,Analyze
PTC,PTC Inc,Common stocks,Large cap,Information Technology,"$14,551,252,800 ",0.00%,0,0,0,Analyze
TXT,Textron Inc,Common stocks,Large cap,Industrials,"$14,486,652,442 ",0.12%,0,0,0,Analyze
TER,Teradyne Inc,Common stocks,Large cap,Information Technology,"$14,409,001,066 ",0.46%,0,0,0,Analyze
LDOS,Leidos Holdings Inc,Common stocks,Large cap,Industrials,"$14,386,575,874 ",1.36%,0,0,0,Analyze
ETSY,Etsy Inc,Common stocks,Large cap,Consumer Discretionary,"$14,374,972,701 ",0.00%,0,0,0,Analyze
AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$14,276,027,691 ",0.00%,0,0,0,Analyze
TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"$14,247,508,399 ",0.00%,0,0,0,Analyze
MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$14,224,111,764 ",0.03%,0,0,0,Analyze
LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"$14,213,709,202 ",1.91%,0,0,0,Analyze
UAL,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"$14,131,708,189 ",0.00%,0,0,0,Analyze
NVR,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"$14,033,395,488 ",0.00%,0,0,0,Analyze
FLT,Fleetcor Technologies Inc,Common stocks,Large cap,Information Technology,"$13,846,268,442 ",0.00%,0,0,0,Analyze
KIM,Kimco Realty Corporation,REITs,Large cap,Real Estate,"$13,612,322,846 ",3.50%,0,0,0,Analyze
LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$13,497,443,799 ",3.14%,0,0,0,Analyze
ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$13,437,711,066 ",4.14%,0,0,0,Analyze
JKHY,"Jack Henry & Associates, Inc.",Common stocks,Large cap,Information Technology,"$13,357,041,182 ",1.05%,0,0,0,Analyze
EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"$13,356,722,243 ",3.95%,0,0,0,Analyze
TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$13,347,669,304 ",0.00%,0,0,0,Analyze
L,Loews Corp,Common stocks,Large cap,Financials,"$13,303,037,724 ",0.45%,0,0,0,Analyze
VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"$13,291,023,194 ",4.22%,0,0,0,Analyze
ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$13,171,277,768 ",0.00%,0,0,0,Analyze
SIVB,SVB Financial Group,Common stocks,Large cap,Financials,"$13,157,760,085 ",0.00%,0,0,0,Analyze
MTCH,Match Group Inc,Common stocks,Large cap,Communication Services,"$13,135,766,165 ",0.00%,0,0,0,Analyze
CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"$13,123,425,869 ",1.56%,0,0,0,Analyze
PEAK,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"$13,115,979,514 ",4.83%,0,0,0,Analyze
NDSN,Nordson Corp,Common stocks,Large cap,Industrials,"$13,108,686,774 ",0.95%,0,0,0,Analyze
BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$13,053,465,669 ",4.36%,0,0,0,Analyze
TECH,Bio-Techne Corp,Common stocks,Large cap,Health Care,"$13,015,521,501 ",0.39%,0,0,0,Analyze
DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$12,982,014,261 ",1.15%,0,0,0,Analyze
UDR,"UDR, Inc",REITs,Large cap,Real Estate,"$12,842,623,221 ",3.76%,0,0,0,Analyze
HST,"Host Hotels & Resorts, Inc",REITs,Large cap,Real Estate,"$12,777,546,089 ",1.17%,0,0,0,Analyze
IPG,Interpublic Group Of Companies Inc,Common stocks,Large cap,Communication Services,"$12,747,495,998 ",3.43%,0,0,0,Analyze
IP,International Paper,Common stocks,Large cap,Materials,"$12,711,646,122 ",5.09%,0,0,0,Analyze
VFC,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$12,667,254,371 ",6.04%,0,0,0,Analyze
POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$12,480,577,513 ",1.18%,0,0,0,Analyze
SNA,Snap On Inc,Common stocks,Large cap,Industrials,"$12,457,852,742 ",1.81%,0,0,0,Analyze
RE,Everest Re Group Ltd,Common stocks,Large cap,Financials,"$12,430,198,491 ",2.00%,0,0,0,Analyze
CPT,Camden Property Trust,REITs,Large cap,Real Estate,"$12,093,062,533 ",3.18%,0,0,0,Analyze
CRL,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$12,085,207,160 ",0.00%,0,0,0,Analyze
PARA,Paramount Global - Class B,Common stocks,Large cap,Communication Services,"$12,075,450,132 ",5.17%,0,0,0,Analyze
PKG,Packaging Corp Of America,Common stocks,Large cap,Materials,"$11,981,364,470 ",3.43%,0,0,0,Analyze
LW,Lamb Weston Holdings Inc,Common stocks,Large cap,Consumer Staples,"$11,912,100,315 ",1.18%,0,0,0,Analyze
SWK,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$11,909,313,773 ",3.89%,0,0,0,Analyze
BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$11,750,154,338 ",0.00%,0,0,0,Analyze
WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"$11,603,765,276 ",0.00%,0,0,0,Analyze
STX,Seagate Technology Plc,Common stocks,Large cap,Information Technology,"$11,358,631,600 ",5.07%,0,0,0,Analyze
CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"$11,209,472,638 ",2.29%,0,0,0,Analyze
REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"$11,188,003,434 ",3.76%,0,0,0,Analyze
BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$11,070,017,761 ",5.46%,0,0,0,Analyze
MAS,Masco Corp,Common stocks,Large cap,Industrials,"$11,066,714,066 ",2.26%,0,0,0,Analyze
GL,Globe Life Inc.,Common stocks,Large cap,Financials,"$10,979,863,450 ",0.72%,0,0,0,Analyze
CE,Celanese Corporation,Common stocks,Large cap,Materials,"$10,769,076,012 ",2.73%,0,0,0,Analyze
HSIC,Henry Schein Inc,Common stocks,Large cap,Health Care,"$10,735,367,940 ",0.00%,0,0,0,Analyze
CZR,Caesars Entertainment Corp,Common stocks,Large cap,Consumer Discretionary,"$10,676,809,385 ",0.00%,0,0,0,Analyze
KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$10,623,381,460 ",0.00%,0,0,0,Analyze
CCL,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$10,581,841,716 ",0.00%,0,0,0,Analyze
NWS,News Corp Class B,Common stocks,Large cap,Communication Services,"$10,398,274,913 ",1.09%,0,0,0,Analyze
NWSA,News Corp Class A,Common stocks,Large cap,Communication Services,"$10,398,274,913 ",1.11%,0,0,0,Analyze
NI,Nisource Inc,Common stocks,Large cap,Utilities,"$10,380,793,782 ",3.63%,0,0,0,Analyze
CDAY,Ceridian HCM Holding Inc.,Common stocks,Large cap,Information Technology,"$10,132,552,459 ",0.00%,0,0,0,Analyze
TFX,Teleflex Inc,Common stocks,Large cap,Health Care,"$10,031,410,189 ",0.63%,0,0,0,Analyze
EMN,Eastman Chemical,Common stocks,Mid cap,Materials,"$9,987,997,899 ",3.61%,0,0,0,Analyze
QRVO,"Qorvo, Inc.",Common stocks,Mid cap,Information Technology,"$9,905,751,512 ",0.00%,0,0,0,Analyze
JNPR,Juniper Networks Inc,Common stocks,Mid cap,Information Technology,"$9,902,189,007 ",2.70%,0,0,0,Analyze
PHM,Pultegroup Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,759,796,976 ",1.39%,0,0,0,Analyze
ALLE,Allegion PLC,Common stocks,Mid cap,Industrials,"$9,730,570,933 ",1.43%,0,0,0,Analyze
BWA,BorgWarner Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,675,240,388 ",1.64%,0,0,0,Analyze
MKTX,Marketaxess Holdings Inc,Common stocks,Mid cap,Financials,"$9,654,221,468 ",1.09%,0,0,0,Analyze
NRG,NRG Energy Inc,Common stocks,Mid cap,Utilities,"$9,524,083,035 ",3.34%,0,0,0,Analyze
UHS,Universal Health Services Inc.,Common stocks,Mid cap,Health Care,"$9,216,142,828 ",0.63%,0,0,0,Analyze
WRK,Westrock,Common stocks,Mid cap,Materials,"$9,200,156,045 ",2.81%,0,0,0,Analyze
CMA,Comerica Inc,Common stocks,Mid cap,Financials,"$9,185,002,669 ",3.83%,0,0,0,Analyze
AOS,A O Smith Corp,Common stocks,Mid cap,Industrials,"$9,181,809,173 ",1.88%,0,0,0,Analyze
